,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
475,Roma città aperta,-1945,103 min,8,N/A,"25,916",N/A,"During the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape."
476,Brief Encounter,-1945,86 min,8,92,"39,284",N/A,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband."
477,The Maltese Falcon,-1941,100 min,8,97,"155,980",$2.11M,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered."
478,La règle du jeu,-1939,110 min,8,N/A,"28,522",N/A,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
479,Bronenosets Potemkin,-1925,75 min,8,97,"56,722",$0.05M,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
480,Das Cabinet des Dr. Caligari,-1920,76 min,8,N/A,"62,075",N/A,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders."
481,Knives Out,-2019,130 min,7.9,82,"579,426",$165.36M,"A detective investigates the death of the patriarch of an eccentric, combative family."
482,Manbiki kazoku,-2018,121 min,7.9,93,"72,890",$3.31M,A family of small-time crooks take in a child they find outside in the cold.
483,Marriage Story,-2019,137 min,7.9,94,"290,094",$2.00M,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.
484,Hindi Medium,-2017,132 min,7.9,N/A,"27,545",N/A,A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.
485,Call Me by Your Name,-2017,132 min,7.9,93,"253,055",$18.10M,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
486,"I, Daniel Blake",-2016,100 min,7.9,78,"58,640",$0.26M,"After surviving a heart-attack, a 59-year-old carpenter must fight bureaucratic forces to receive Employment and Support Allowance."
487,Sing Street,-2016,106 min,7.9,79,"91,529",$3.24M,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
488,Thor: Ragnarok,-2017,130 min,7.9,74,"685,810",$315.06M,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
489,Nightcrawler,-2014,117 min,7.9,76,"516,131",$32.38M,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
490,Jojo Rabbit,-2019,108 min,7.9,58,"361,617",$0.35M,A young German boy in the Hitler Youth whose hero and imaginary friend is the country's dictator is shocked to discover that his mother is hiding a Jewish girl in their home.
491,Wonder,(I) (2017),113 min,7.9,66,"158,669",$132.42M,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time."
492,Arrival,(II) (2016),116 min,7.9,81,"663,124",$100.55M,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.
493,Star Wars: Episode VII - The Force Awakens,-2015,138 min,7.9,80,"903,540",$936.66M,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
494,Gully Boy,-2019,154 min,7.9,65,"37,621",$5.57M,A coming-of-age story based on the lives of street rappers in Mumbai.
495,Short Term 12,-2013,96 min,7.9,82,"86,563",$1.01M,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.
496,Serbuan maut 2: Berandal,-2014,150 min,7.9,71,"120,965",$2.63M,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force."
497,Before Midnight,-2013,109 min,7.9,94,"152,869",$8.11M,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
498,English Vinglish,-2012,134 min,7.9,N/A,"35,693",$1.67M,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
499,Bir Zamanlar Anadolu'da,-2011,157 min,7.9,82,"45,590",$0.14M,A group of men set out in search of a dead body in the Anatolian steppes.
500,The Artist,(I) (2011),100 min,7.9,89,"238,740",$44.67M,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
501,Edge of Tomorrow,-2014,113 min,7.9,71,"650,496",$100.21M,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
502,Amour,-2012,127 min,7.9,94,"98,414",$6.74M,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
503,Låt den rätte komma in,-2008,114 min,7.9,82,"213,756",$2.12M,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
504,District 9,-2009,112 min,7.9,81,"666,734",$115.65M,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.
505,The Wrestler,-2008,109 min,7.9,80,"300,906",$26.24M,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle."
506,Jab We Met,-2007,138 min,7.9,N/A,"51,571",$0.41M,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
507,Boyhood,(I) (2014),165 min,7.9,100,"349,227",$25.38M,"The life of Mason, from early childhood to his arrival at college."
508,Verdens verste menneske,-2021,128 min,7.9,90,"26,477",N/A,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is."
509,"4 luni, 3 saptamâni si 2 zile",-2007,113 min,7.9,97,"59,347",$1.19M,A woman assists her friend in arranging an illegal abortion in 1980s Romania.
510,In Bruges,-2008,107 min,7.9,67,"411,294",$7.76M,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be."
511,The Man from Earth,-2007,87 min,7.9,N/A,"183,942",N/A,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.
512,Avatar,-2009,162 min,7.9,83,"1,183,808",$760.51M,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
513,Letters from Iwo Jima,-2006,141 min,7.9,89,"160,502",$13.76M,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it."
514,Life of Pi,-2012,127 min,7.9,79,"613,057",$124.99M,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
515,Fantastic Mr. Fox,-2009,87 min,7.9,83,"222,451",$21.00M,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.
516,Bin-jip,-2004,88 min,7.9,72,"54,245",$0.24M,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.
517,Veer-Zaara,-2004,192 min,7.9,67,"52,000",$2.92M,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever."
518,C.R.A.Z.Y.,-2005,129 min,7.9,81,"32,629",N/A,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values."
519,Vozvrashchenie,-2003,110 min,7.9,82,"44,975",$0.50M,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces."
520,Les choristes,-2004,97 min,7.9,56,"60,925",$3.64M,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.
521,Iron Man,-2008,126 min,7.9,79,"1,017,517",$318.41M,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
522,Shaun of the Dead,-2004,99 min,7.9,76,"542,749",$13.54M,"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse."
523,Gegen die Wand,-2004,121 min,7.9,78,"53,641",N/A,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love."
524,Mystic River,-2003,138 min,7.9,84,"446,332",$90.14M,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.
525,Harry Potter and the Prisoner of Azkaban,-2004,142 min,7.9,82,"608,033",$249.36M,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
526,Ying xiong,-2002,120 min,7.9,85,"179,498",$53.71M,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
527,Hable con ella,-2002,112 min,7.9,86,"110,759",$9.28M,Two men share an odd friendship while they care for two women who are both in deep comas.
528,No Man's Land,(I) (2001),98 min,7.9,84,"46,628",$1.06M,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap."
529,The Bourne Identity,-2002,119 min,7.9,68,"535,346",$121.66M,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory."
530,Nueve reinas,-2000,114 min,7.9,80,"52,183",$1.22M,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
531,Children of Men,-2006,109 min,7.9,84,"489,415",$35.55M,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
532,Wo hu cang long,-2000,120 min,7.9,94,"264,410",$128.08M,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.
533,Almost Famous,-2000,122 min,7.9,90,"270,613",$32.53M,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.
534,Mulholland Dr.,-2001,147 min,7.9,85,"345,688",$7.22M,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
535,Shrek,-2001,90 min,7.9,84,"654,123",$267.67M,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
536,Toy Story 2,-1999,92 min,7.9,88,"561,809",$245.85M,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
537,Titanic,-1997,194 min,7.9,75,"1,124,874",$659.33M,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
538,Knockin' on Heaven's Door,-1997,87 min,7.9,N/A,"29,749",$0.00M,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea."
539,Boogie Nights,-1997,155 min,7.9,85,"257,413",$26.40M,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent."
540,Mimi wo sumaseba,-1995,111 min,7.9,75,"59,719",N/A,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses."
541,Kôkaku Kidôtai,-1995,83 min,7.9,76,"139,188",$0.52M,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
542,Once Were Warriors,-1994,102 min,7.9,77,"33,695",$2.20M,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.
543,Ed Wood,-1994,127 min,7.9,70,"173,245",$5.89M,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent."
544,True Romance,-1993,119 min,7.9,59,"221,629",$12.28M,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it."
545,Trois couleurs: Bleu,-1993,94 min,7.9,85,"99,169",$1.32M,A woman struggles to find a way to live her life after the death of her husband and child.
546,Carlito's Way,-1993,144 min,7.9,65,"213,141",$36.95M,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C."
547,Bound by Honor,-1993,180 min,7.9,47,"30,773",$4.50M,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo."
548,Edward Scissorhands,-1990,105 min,7.9,74,"473,953",$56.36M,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world."
549,My Left Foot: The Story of Christy Brown,-1989,103 min,7.9,97,"72,878",$14.74M,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot."
550,Do the Right Thing,-1989,120 min,7.9,93,"99,382",$27.55M,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence."
551,Crimes and Misdemeanors,-1989,104 min,7.9,77,"57,348",$18.25M,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.
552,Back to the Future Part II,-1989,108 min,7.9,57,"514,362",$118.50M,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
553,The Untouchables,-1987,119 min,7.9,79,"301,218",$76.27M,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him."
554,Sacrifice,-1986,149 min,7.9,N/A,"27,511",$0.30M,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return."
555,Hannah and Her Sisters,-1986,107 min,7.9,90,"70,576",$40.08M,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly."
556,Brazil,-1985,132 min,7.9,84,"197,737",$9.93M,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.
557,This Is Spinal Tap,-1984,82 min,7.9,92,"137,296",$4.74M,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour."
558,E.T. the Extra-Terrestrial,-1982,115 min,7.9,91,"396,174",$435.11M,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.
559,Kagemusha,-1980,180 min,7.9,84,"35,077",N/A,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.
560,The Blues Brothers,-1980,133 min,7.9,60,"194,540",$57.23M,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago."
561,Manhattan,-1979,96 min,7.9,83,"138,333",$45.70M,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.
562,Dawn of the Dead,-1978,127 min,7.9,71,"118,179",$5.10M,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall."
563,All the President's Men,-1976,138 min,7.9,84,"112,422",$70.60M,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation."
564,Amarcord,-1973,123 min,7.9,N/A,"42,807",$0.58M,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.
565,"Aguirre, der Zorn Gottes",-1972,95 min,7.9,N/A,"56,057",N/A,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado."
566,Harold and Maude,-1971,91 min,7.9,62,"76,182",N/A,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral."
567,Il conformista,-1970,113 min,7.9,100,"29,671",$0.54M,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident."
568,The Wild Bunch,-1969,145 min,7.9,97,"83,128",$12.06M,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them."
569,The Lion in Winter,-1968,134 min,7.9,N/A,"31,061",$22.28M,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision."
570,In Cold Blood,-1967,134 min,7.9,89,"26,183",N/A,"Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers."
571,Per un pugno di dollari,-1964,99 min,7.9,65,"211,818",$14.50M,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge."
572,Charade,-1963,113 min,7.9,83,"75,177",$13.47M,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?
573,Vivre sa vie: Film en douze tableaux,-1962,80 min,7.9,N/A,"30,917",N/A,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.
574,The Manchurian Candidate,-1962,126 min,7.9,94,"74,600",N/A,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.
575,Spartacus,-1960,197 min,7.9,87,"132,379",$30.00M,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising."
576,Hiroshima mon amour,-1959,90 min,7.9,N/A,"31,171",$0.09M,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
577,The Ten Commandments,-1956,220 min,7.9,N/A,"68,581",$93.74M,"Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery."
578,The Searchers,-1956,119 min,7.9,94,"87,321",N/A,An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.
579,The Big Heat,-1953,89 min,7.9,N/A,"26,222",N/A,Tough cop Dave Bannion takes on a politically powerful crime syndicate.
580,Strangers on a Train,-1951,101 min,7.9,88,"131,604",$7.63M,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.
581,In a Lonely Place,-1950,94 min,7.9,N/A,"30,629",N/A,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts."
582,Harvey,-1950,104 min,7.9,N/A,"54,911",N/A,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows."
583,Miracle on 34th Street,-1947,96 min,7.9,88,"47,187",$2.65M,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken."
584,Notorious,-1946,102 min,7.9,100,"99,299",$10.46M,The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?
585,The Big Sleep,-1946,114 min,7.9,N/A,"84,126",$6.54M,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love."
586,La belle et la bête,-1946,96 min,7.9,92,"26,077",$0.30M,"A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her."
587,The Lost Weekend,-1945,101 min,7.9,N/A,"36,249",$9.46M,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.
588,Laura,-1944,88 min,7.9,N/A,"46,465",$4.36M,A police detective falls in love with the woman whose murder he is investigating.
589,Arsenic and Old Lace,-1943,118 min,7.9,N/A,"69,793",N/A,A Brooklyn writer of books on the futility of marriage risks his reputation when he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.
590,Sullivan's Travels,-1941,90 min,7.9,N/A,"25,918",N/A,Hollywood director John L Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.
591,The Philadelphia Story,-1940,112 min,7.9,96,"67,905",N/A,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself."
592,His Girl Friday,-1940,92 min,7.9,N/A,"57,526",$0.30M,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.
593,The Adventures of Robin Hood,-1938,102 min,7.9,97,"50,297",$3.98M,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement."
594,The Thin Man,-1934,91 min,7.9,86,"29,013",N/A,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
595,King Kong,-1933,100 min,7.9,90,"84,022",$10.00M,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.
596,Freaks,-1932,64 min,7.9,80,"45,389",N/A,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."
597,Nosferatu,-1922,94 min,7.9,N/A,"94,584",N/A,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
598,The Gentlemen,-2019,113 min,7.8,51,"306,960",N/A,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
599,Doragon bôru chô: Burorî,-2018,100 min,7.8,59,"25,845",$30.71M,"Goku and Vegeta encounter Broly, a Saiyan warrior unlike any fighter they've faced before."
600,Isle of Dogs,-2018,101 min,7.8,82,"161,190",$32.02M,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog."
601,Dunkirk,-2017,106 min,7.8,94,"623,018",$188.37M,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
602,Hidden Figures,-2016,127 min,7.8,74,"220,110",$169.61M,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
603,Hunt for the Wilderpeople,-2016,101 min,7.8,81,"125,553",$5.20M,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.
604,Paddington 2,-2017,103 min,7.8,88,"72,080",$40.44M,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen."
605,Udta Punjab,-2016,148 min,7.8,N/A,"29,754",N/A,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.
606,Kubo and the Two Strings,-2016,101 min,7.8,84,"126,235",$48.02M,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
607,Manchester by the Sea,-2016,137 min,7.8,96,"270,777",$47.70M,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
608,Under sandet,-2015,100 min,7.8,75,"39,976",$0.44M,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight."
609,Rogue One,-2016,133 min,7.8,65,"599,722",$532.18M,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction."
610,Captain Fantastic,-2016,118 min,7.8,72,"212,004",$5.88M,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
611,Captain America: Civil War,-2016,147 min,7.8,75,"743,873",$408.08M,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
612,The Hateful Eight,-2015,168 min,7.8,68,"572,444",$54.12M,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
613,Little Women,-2019,135 min,7.8,91,"186,492",$108.10M,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
614,Loving Vincent,-2017,94 min,7.8,62,"56,316",$6.74M,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there."
615,Pride,(I) (2014),119 min,7.8,79,"55,388",N/A,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.
616,The Lunchbox,-2013,104 min,7.8,76,"54,818",$4.23M,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.
617,Vicky Donor,-2012,126 min,7.8,N/A,"42,523",$0.17M,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic."
618,Big Hero 6,-2014,102 min,7.8,74,"443,718",$222.53M,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes."
619,About Time,(I) (2013),123 min,7.8,55,"333,760",$15.32M,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
620,Kaze tachinu,-2013,126 min,7.8,83,"82,176",$5.21M,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II."
621,La migliore offerta,-2013,131 min,7.8,49,"116,250",$0.09M,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.
622,Captain America: The Winter Soldier,-2014,136 min,7.8,70,"807,775",$259.77M,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
623,Moonrise Kingdom,-2012,94 min,7.8,84,"341,538",$45.51M,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
624,How to Train Your Dragon 2,-2014,102 min,7.8,77,"324,856",$177.00M,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
625,The Big Short,-2015,130 min,7.8,81,"411,110",$70.26M,"In 2006-2007 a group of investors bet against the US mortgage market. In their research, they discover how flawed and corrupt the market is."
626,Ang-ma-reul bo-at-da,-2010,144 min,7.8,67,"124,737",$0.13M,A secret agent exacts revenge on a serial killer through a series of captures and releases.
627,The Girl with the Dragon Tattoo,-2011,158 min,7.8,71,"452,426",$102.52M,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker."
628,Captain Phillips,-2013,134 min,7.8,82,"447,578",$107.10M,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
629,Straight Outta Compton,-2015,147 min,7.8,72,"195,440",$161.20M,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
630,The Irishman,-2019,209 min,7.8,94,"367,228",$7.00M,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.
631,The Social Network,-2010,120 min,7.8,95,"677,296",$96.96M,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business."
632,Un prophète,-2009,155 min,7.8,90,"97,575",$2.08M,A young Algerian man is sent to a French prison.
633,Madeo,-2009,129 min,7.8,79,"61,256",$0.55M,A mother desperately searches for the killer who framed her son for a girl's horrific murder.
634,Chugyeokja,-2008,125 min,7.8,64,"64,330",N/A,A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.
